Timestamp,Name,Q1: What is your personal relationship with biking? Do you have a memorable experience or memory related to riding a bike?,"Q2: Do you support a goal of doubling the bike and transit mode share within ten years, and what steps do you recommend taking to achieve that goal? ",Q3: Do you support creating a low-stress bike network so that people of all ages and abilities have equal access to biking everywhere in Madison? What are the greatest barriers to equitable access to biking in your district?,"Q4: How do you think we should reduce the number of people injured and killed on our streets? Do you support measures that lower speeds on roads in your district to improve safety, for example by eliminating slip lanes, making roads narrower, or prohibiting through traffic, even when it may inconvenience some people that move by car?","Q5: Do you support this policy, and how do you weigh the competing demands when you make a decision about allocating space for different kinds of uses? As Madison takes on the question of modal hierarchy in our Complete Streets project this year, will you support prioritizing safe and accessible facilities for people moving by foot and by bike ahead of car storage within the right of way?","We would love to go on a bike ride (or walk) with you and your constituents in your district, once the weather and COVID will allow us to do so. We’ll figure out all the logistics and possible accommodations. Are you willing to ride with us?",Is there anything else you’d like to share?,District
3/8/2021 12:01:05,Aisha Moe,"While I have lots of memories related to biking leisurely and commuting on bike, one of my favorite memories was the first time I went mountain biking on a family vacation in Wisconsin. It was the first time I got to ride down hills on wooded trails at high speeds. And, yes, I walked away with a few bruises and scrapes, but nothing really ever matched that sense of pride and accomplishment my family and I felt at the end of that day.",I absolutely support doubling bike and transit mode share. The biggest ways we will be able to reduce carbon emissions for the city will be by  expanding our public transit system and the biking and pedestrian paths in the city.,"Yes, I support creating a low-stress bike network that prioritizes equal access to everyone in Madison. The city can support equitable access to travel and commuting by expanding bike paths, bussing routes and pedestrian walkways  in the city, but especially in the neighborhoods that have been historically underserved. ","In my district, I support initiatives that will reduce speeds on residential roads. For instance, on Gammon Rd, radar speed signs were introduced to lower speeds. Additionally, there are requests from neighbors in District 19 to introduce stop signs or traffic lights/circles on Old Sauk to lower the speed of cars. I support such measures. Slower speeds keep everyone safer.","I will prioritize safe bike infrastructure over car storage in the city. One of the ways we can encourage residents of Madison to utilize environmentally sustainable modes of transit over cars is by making those modes of transit more attractive such as increasing the number of busing routes or biking paths. Additionally, we can increase the desire to use public transit or biking by making travel by car less attractive: for example, not increasing the number of parking spaces or charging fees for parking.",Yes!!,Thank you for taking your time to read this!,19
3/20/2021 20:32:15,Ayomi Obuseh,"I learned to ride a bike from my mom and it was a sense of independence for me. I in turn taught my younger brother and I was proud to share that experience with him. In essence, the freedom a bike brings is a really empowering experience for me.","Currently, about 5 percent of all trips in the city are done by bike and another 10 percent are by transit. In order to reduce greenhouse gas emissions, reduce crashes, and bring health benefits to our city, many plans and policies adopted by the city call for increasing the number of trips done by bike or transit. 

We can reduce greenhouse emissions, reduce crashes, and bring more health benefits overall to our city by implementing more bike barns to keep bikes safe from the elements and investing to expand the reach of bike share programs such as Bicycle. I also want to support policies that invest in buses that run on renewable energy, such as electric buses, and free bus lines with priority given to bus lines with hospitals en route. ","We know that this past year has brought to the forefront Madison’s stark racial inequities, some of which directly relate to transportation. Low income neighborhoods and neighborhoods with a higher percentages of people of color often lack access to good transit, safe walking and biking, or to green spaces. Access to a car can often be the only way to reach jobs, but car ownership is a huge financial burden. In addition, people with disabilities, seniors, undocumented immigrants, and children have mobility needs that are often not met by driving. A bike network that serves people of all ages and abilities (rather just those who already are in the habit of biking today) throughout the whole city can provide an affordable and healthy transportation option. 

I would fully support a bike network that would encourage increased bike usage, which would in turn lower our carbon footprint and promote healthy activities. If we look at cities with increased bike activity like Portland, Oregon, we see that their residents traveled 2.9 billion fewer miles and saved around $2.6 billion collectively. Increased bike usage is beneficial for the environment, the economy, and the overall well-being of residents. Currently, District 8 sees a decent amount of student bikers, but a large barrier that prevents bike usage is the lack of storage space. This is why I want to increase the amount of bike barns around District 8 to begin to combat this issue. 
","Last year, the City of Madison adopted a Vision Zero policy. The core of this policy is a goal to eliminate all traffic fatalities and major injuries by building a “forgiving” system where human error does not lead to death or serious injury. During the COVID-19 pandemic, even though fewer cars have been on the road, speeding and dangerous driving have gone up. Speeding is the main factor in causing crashes, and the higher the speed, the more severe those crashes are, especially for people walking and biking. That being said, 
With increased green transportation there will be more busing which will inevitably make the streets narrower. Ideally we should make state street a pedestrian zone which would send a message to the rest of the city on the inconveniences of having a car due to its impact on the environment. Overall, my goal is to increase public transportation, which is the safest option. ","Background: Prioritizing of public right-of-way and Complete Streets: The public right of way is limited in our city. There are competing demands of what to use this right of way for: moving cars, moving buses, sidewalks, street trees, rain gardens, strategies, passenger and package pickup and delivery, car parking -- and safe bike infrastructure. Madison has adopted a Complete Streets policy to “ensure that streets are designed to enable safe access for all users, pedestrians, bicyclists, motorists and transit riders, of all ages and abilities, to be able to move safely along and across the street.”

I would support more green transportation, particularly by foot and by bike. I want to be a huge advocate for electric buses for public transit so that we can transition from our heavy reliance on cars. I want to first get a better understanding from the community about what is needed, and I would gather this feedback from townhalls and outreach initiatives to come to a conclusion about how to move forward. In particular, I would work closely with the neighborhood association, of which I am currently on the steering committee for, to ensure that the needs of the community are being met but in an environmentally conscious, sustainable way. ",Absolutely ready! I think it's a great way to build community and stay healthy. 100% for it.,,8
3/7/2021 11:15:23,Brandi Grayson-Tuck,"I'm passionate about improving conditions for Madison because when I moved from the south side of Chicago to Madison, this was the first place I saw bike lanes and green spaces. I know we have a lot of opportunities, and I'm driven to make them equitably accessible for all Madisonians.","Yes - for both environmental and accessibility reasons, we should be moving away from individual cars as a city. For many of our lowest income residents, a city that is forcing car dependence is forcing them into unnecessary tickets as they struggle to maintain a car, a license, its registration, and insurance. All these fees add up and if one falls behind they can get trapped in the criminal justice system. Bicycling, one of many alternatives, is much more affordable in addition to environmentally sustainable.","Yes, but like any system, like public transportation, it must be implemented in a socioeconomically and racially equitable way. Our current bus system heavily centers young professionals, downtown residents, Epic employees, and the near east and west side. We need to make sure all systems of transportation are easy to access to everyone. In addition to infrastructure, the greatest barrier in D14 is the initial cost. We should find ways for residents to get access to bicycles and safety equipment at a price point they find reasonable.","The most obvious answer is the right one: We need to move away from cars. Bicycles are part of this solution - other parts include increasing public transportation, which are driven by professionals, and expanding public transportation options to ideas like light rail.","Narrower lanes reduces speeding so ways to prioritize public right-of-way can not only improve accessibility of public transportation and bicycles, but it can reduce traffic incidents and speeding as well.",Keep in touch after the pandemic!,"Visit the many businesses in D14, preferably on your bicycle!",14
3/15/2021 21:10:26,Brian Benford,Love this question!  I love biking-no really I love biking.  Too many favorite memories but I ill never forget cruising around Madison in 1079 riding a shared RED BIKE that was beat to crap but I will never forget falling in love with Madison as a 20 year old riding around.,"Yes!  As a Black man who has ridden for most of my life, I lament that there are not more BIPOC folks on bikes.  I served on the City of Madison's Platinum Bike Committee where I tried to advance biking within underrepresented communities,  In order to increase ridership-we have to look at biking through a culturally competent lens.","Poverty, systemic racism, a tremendous disconnect with our natural environments are a few barriers to all biking.  When people have to face trauma and marginalization daily, biking or transit alternatives are not placed as a priority.  We have to create a program where there is free access to quality-again-quality bikes and have holistic educational opportunities that will allow for families and communities to build capacity through biking.  ","I live on East Washington Avenue International Speedway where each day I see the perils and dangers offered to bikers on our busiest entryway into the city.  This is telling!  We need to create streets and paths that place people in direct contact with the places they frequent with enhanced safety measures like bike lanes, more paths, bumpouts, narrower streets and educating and facilitating more awareness on bike and ped. safety along with rerouting car traffic.",Yes!  Yes!,Hell Yes!  But only if you are cool!  I don't ant to be bummed out by too much negativity on our ride.,"I have biked since I was a wee lad living in Milwaukee during the 1960's.  I depend on my bike for not only transportation, but as almost a spiritual connection in being able to move my body through space on my own.  As a father of five, a long time community activist, family advocate, I have tried to create pathways to get more BIPOC folks biking and connected with the environmental justice that biking offers.  ",6
3/7/2021 10:50:50,Charly Rowe,"Some of my first childhood memories include cruising through Madison's east side neighborhoods on my rainbow painted banana seat. By thirteen years old, I was peddling to work at KFC on Cottage Grove Road. Bicycling has been a mode of transportation, and an enjoyable escape for me for as long as I can remember. This is the first summer both of my children will be without training wheels- watch out!","The benefits of increasing bike and transit mode share (sooner, rather than later) are many. To achieve our city's commitment of zero net carb we must continue programs such as the new E-bikes and Bus Rapid Transit. Extending bike paths and public transport  to communities on the east would be immeasurably valuable to the citizens; improving health and wellness, creating a sense of community, and improve workplace accessibility.","Absolutely, I am in support of such a bike network. Our District is one that clearly shows the racial and economic inequities of our on-going city planning. While my opponent advocates for a needed wider bike path on the Milwaukee Bridge; as Alder, I will advocate for safer bike paths and networking throughout the entire district. Many of our citizens bike on dangerous thoroughfares; children on open roadways, because the bike paths do not extend to us.  The beautiful public paths end at Dempsey Road, the western border of our district. The injustices of inequitable access to the multiple benefits the city offers residents of other districts must come to and end. The city must stop minimizing the value of the essential citizens living on the east side.","While in absolute support of measures to reduce injuries and death; measures to reduce speeds and the cause of these increasing crimes should be looked at carefully. Such discussions should be made known to the citizens for their input. East of Highway 51, the speed limit on Milwaukee Street was reduced from 35 to 25 m.p.h. recently.  Law abiding citizens were angered that they now had to comply with this limitation; while those who sped through recklessly would continue to do so. Citizens expressed frustration with the lack of communication from the city in regards to letting them know and getting their input. They also wondered why there was no greater Police presence in such key speeding areas to curb the dangerous crimes.  We need measures that address the underlying problems, not just those that legislate conformity.","The very term ""public right of way"" implies that there is the ability for the larger public to use the space.  Private car storage on public property is not an inherent right of the home occupants. Factors, such as: the type of housing, neighborhood density, and business needs, etc.; should be analyzed to make the best decisions for the communities. As Alder, it is my obligation to support in favor of the people's expressed will. This is a great example of the type of civic issue that we must work more diligently on to educate and empower a greater portion of the citizenship.",Yes! I'd love to! My children and I have some family biking/campaign lit drops in these few weeks before the election on April 6.  You are more than welcome to tour our neighborhoods with us!,"I'd like to share an announcement my friend, Kristie GoForth, recently posted at https://fb4kmadison.org/author/kristie/
This is the time of year children grow out of the bikes they used last summer; or families are just looking into getting their child their first bike. 
Covid has cloistered us all winter. We know our kids need to get out and get active this summer.
Free Bikes 4 Kids Madison makes access to bicycling and all its benefits available to more families one bike at a time.  ",3
3/5/2021 12:55:01,Jael Currie,"I fortunately learned to ride a bike as a child and have usually always had my own bike or access to one to ride. My riding has increased tremendously during the last year due to being home with limited safe entertainment options as a result of the COVID-19 pandemic. I have been introduced to wonderful community orgs such as Free Bikes for Kidz and Madison B-Cycle which have provided opportunities for myself and children to bike more. It has also increased my awareness of the plethora of beautiful bike paths, parks, and conservations. I was even blessed enough to receive a gift of my very first Trek road bike a couple months ago! ","Yes, I support the use of alternative transportation methods that will assist in the reduction of our carbon footprint. As Alder, I would recommend continuing the collaborations between the city, county, and individuals, organizations, and systems that support comprehensive bike ridership and public transportation options. I would preface this however with making sure to be intentional about providing robust, accessible, and equitable bike and transit opportunities before decreasing options to travel by personal car etc. We must ensure that we do not in turn, create increased barriers and inaccessibility to the city by increasing alternative transportation options. ","Yes, absolutely! Through my professional work, I have been in touch with local organizations and community leaders about creating partnerships to develop solutions that will increase ridership and awareness of citywide resources (such as Madison B-Cycle), especially among disenfranchised and/or marginalized communities. In fact, 2 summers ago, YWCA Madison and Madison B-Cycle partnered to provide free memberships to YWCA residents. I would like to deepen partnerships like this as a Council member and do all that’s possible to provide city support and resources to improve equitable access. District 16 has many parks, bike paths, and natural resources. In full transparency, I will need to ask accessibility specific questions as I continue engaging with D16 residents and neighbors since lack of access & equity, in this regard, has not yet come up during preliminary campaign conversations. I would assume financial burden and lack of awareness of biking resources are barriers to equitable access.","I think continued education about statistics of traffic and/or biking accidents, transportation safety, and resources can assist with this endeavor. I do support measures that promote overall safety such as lowering speeds on streets, especially those with ""on street (bike) routes,"" placement of speed control bumps, and eliminating slip lanes. Safety of all commuters is paramount but given our cities desire to utilize alternative transportation methods and sustainability efforts, we should look into every effort to increase safe commuting options for cyclists and pedestrians. ","I support plans that will help policy makers assign priorities in the public right of way. Priorities from my perspective include analyzing connectivity for various travel modes, surveying parking and loading needs, maintaining terrace space, space for city services (such as leaf/brush collection and snow storage), and opportunities for rain gardens/stormwater treatment. I also seek to gather feedback and perspectives from residents in my district and throughout the city to help inform my decisions. In addition, one of the city committees I would like to sit on is the transportation policy and planning committee. ","YES, I would LOVE to!!!",Thank you for your work and commitment to making Madison a city where anyone can ride a bicycle conveniently and comfortably year round!,16
3/20/2021 16:18:58,Lindsay Lemmer,"I grew up riding my bike everywhere. My bike was my gateway to play and fun as a child. As a young adult, I fell in love with how easily navigable our city is using the Capital City Bike Trail, and often rode my bike to school as a UW-Madison student even though I lived in the suburbs of Madison. As a less young adult now, I’ve re-fallen in love with biking as a way to enjoy the outdoors while getting some exercise.","Yes, absolutely. We need to increase our bicycle and pedestrian paths and invest in their maintenance. We need more, and safer pedestrian and bicycling paths and connections. We also need to prioritize accessible and high-quality transit service as part of the solution. I support BRT and also want to increase the frequency of transit service and the number of stops in my district. We have a lot of residential development and we need transit to catch up. The transit route redesign the city is undergoing is a critical opportunity to improve transit and transit accessibility. ","Yes, I absolutely support this. Bicyclists in my district are forced to ride on some high stress and high risk streets in order to access paths. It’s critical to increase the path connectivity in my district that has been so lacking. I am also pleased that the State and County are working on connecting the Glacial Drumlin trail and I will do everything I can to support those efforts.","I was proud to co-sponsor the Vision Zero amendment in the 2020 budget to add funding to this critical initiative. I support all of these measures, and am pleased at the speed reduction on Milwaukee Street, in my own district, as it’s already made things safer. I regularly received reports of reckless driving and speeding on this stretch, and pedestrians and bicycles being put at risk and those have declined since this change. ","Safety must be the top priority in how we manage our roads and traffic. Thus, safe access will be the first criteria and the most heavily weighted in my decisions in this area.",Yes! ,"I think creating more opportunities for children to fall in love with bicycling is an important part of what we can do at the city level, too. I’m so excited by the initiatives our city Parks Department has been undertaking in this area. In my own district, I have a brand new park that will be getting a “kid sized single track” this spring. This is a dirt surface biking trail looping up and down a hill with some curves and hills for little mountain bikers. These kinds of projects cultivate a love of bikes in kids, and that typically becomes a lifelong fondness for bicycling. These are also rather inexpensive especially when compared to other play investments we make into our Parks. I will advocate and budget for more of these biking opportunities for kids.",3
3/8/2021 10:42:07,Mara Eisch,I have many memorable experiences with riding a bike. I continue to use bike riding as a form of transportation today. I particularly enjoy the bike paths throughout the city. Biking has continued to be a family affair.,"Yes I do support increasing biking and transit mode share. I would recommend looking at how feasible it is to ride the current paths especially through the isthmus as one travels from one side to the other. Bike paths that share the road need to be safe. In addition, I appreciate the bike path lighting, but again it needs to be perceived as safe to walk and ride. Perhaps every time we post an incident on a bike path we should also post how many uneventful trips have been made to put in perspective how safe our bike paths are. I would encourage a link between bike safety and our Neighborhood Resource Teams to build a sense of safety on our bike paths.",I am very interested in how we can make the bike network a more affordable and healthy transportation method for those currently not using it. Identifying the barriers and addressing them is the first step. I also think the bus and bike network needs to be well coordinated. ,"As we look at reducing injury and death of bikers on our streets, speeding is certainly one issue. We struggle with controlling speed for pedestrians safety also. Several streets in District 10 have residents complaining about the inability to cross due to speeding. While speeding needs to be addressed are there others ways to put more space between bikers and vehicles? I would prefer to look at ways to allow our bike paths to accommodate more bike and walkers that police for speeders.","There are so many positions that want to be heard in this discussion. We also have competing city goals, ie, reducing parking to reduce traffic and encourage bus usage and at the same time wanting smoother, faster transit by vehicle through town, and then there is the Traffic Calming approach.  It seems we are talking out of both sides of our mouth. What is the goal? Where will people be living and working? How will they get from one place to the other? What combination of transit is needed? How will this work for all ages, incomes and abilities? There are many questions to ask in the bigger picture if we are going to serve all means of transportation.",YES!! There are many in my District who would love to particiapte.,"I would like to emphasize the imprtance of everyone feeling safe on the bike paths and sidewalks. I believe we are safer than we think we we are. But to get to the point of feeling safe requires some change. I do not support a policing attitude of fear. I support a neighborhood driven sense of safety, that includes neighborhood partnerships with police through resource teams and  community driven support to ensure a sense of safety. We need to make our neighborhood identities stronger not weaker in their own sense of efficacy. (Sorry for any typos, this was not a self correcting form.)",10
3/19/2021 15:06:17,Matthew Tramel,"Both myself and my wife are avid bikers. For most of the year, Heather rides from our home in Glendale, to UW Hospital downtown. I have a home office, but love exploring Madison on long rides. So we're excited to be a one-car family, which is possible because Madison is a bike-friendly city. I’ll share a powerful memory from this past fall. Daylight was getting shorter, so Heather was frequently leaving for work in the dark. I was up early walking our dog, and we happened to leave the garage at the same time. She was absolutely weary from battling Covid with her patients, and I encouraged her to take the car - which would afford her another hour of sleep. She said that the enjoyment of riding to the hospital was the only thing keeping her going through such a terrible time. I’ve never been prouder of her than in that moment. ","That is an important and realistic goal. To achieve it, we'll need to work hard to eliminate gaps on our bike paths that lead to dangerous interactions with street traffic. And we'll need to expand bike sharing programs, particularly with more e-bikes that make navigating Madison’s terrain more accessible to every citizen. It was recently announced that the City signed a 10-year contract to expand the Trek E-Bike program with 100 new bikes, but all of those commitments are only for the downtown area. That’s disappointing. We deserve that same amenity on the East Side. In particular - E-bike stations could be used to connect neighbors to the proposed Bus Rapid Transit Line, which is foundational to doubling the transit mode share. Unfortunately the current BRT plan doesn’t include the 16th District or the greater East Side - which is something I’ll work hard to address in upcoming planning discussions. ","Absolutely. And we can start by clearly understanding current barriers within our own communities. Without going through this ‘discovery’ process, however, we risk failing to act in a meaningful way. For instance, we understand that to create more equitable access, citizens need a bike network that is safe and reduces friction with car traffic. As Alder, I would bring the community together to identify and inventory specific locations that constrain ‘bikeability’. This can be achieved by meeting with each neighborhood association for direct input from local neighbors, and establishing a shared understanding of the places that we can transform to improve the overall environment. Let’s identify the areas where bike trails are interrupted, and as a result reduce bike safety and equitable access in general. Once interested stakeholders identify these common areas for improvement, we can develop a strategy to work with the City to address the issues.  ","Madison’s adoption of the Vision Zero policy is an important step in the right direction. Certainly I am supportive of reducing speeds on our roads wherever practicable. But we also need to continue to find ways to separate bike lanes from street traffic and connect parts of the bike path that are currently disconnected from the system. I need to further study issues like eliminating slip lanes, making roads narrower and prohibiting through traffic on some streets, but we have to find creative solutions to make biking safer in general. One important step we could take immediately is to develop a public awareness campaign - using social media, digital marketing and roadway signage - that raises awareness of bikers and encourages safe driving practices.  ","In Madison we have an opportunity to create a smarter transportation future. We should be advancing public policy that prioritizes public safety and equitable mobility. Reducing car trips whenever possible is an important step in that direction. To do that, however, we need efficient, affordable and accessible bus service that connects all communities. We also need a more expansive bike sharing program that extends beyond the isthmus. Let’s also think creatively about new multi-family development across the city. Can our developers and architects find unique design solutions that reduce car parking and incentivize tenants to remain ‘carless’? Today’s ride sharing platforms are also significantly reducing reliance on car ownership, which is something we can embrace to reduce traffic while also increasing mobility.    ",Of course I am! That would easily be the most enjoyable part of running for public office!,"I look forward to working with Madison Bikes - and the entire community - to create a safer, healthier and more equitable future for mobility in Madison!  ",16
3/14/2021 14:25:46,Patrick W. Heck,"I am a daily bike commuter, or at least I was before the pandemic closed the building on campus in which I worked. I own a car, but it often sits for months without being used, so most of my transportation needs are met by biking. I do use Metro transit in snowy weather. As for memories, just this past August I camped and rode on the Cowboy Trail in northern Nebraska. This was the one and only vacation I've taken during the pandemic and was a perfect getaway - no people (perhaps for a good reason) and surprisingly gorgeous scenery.",Yes. We should greatly expand bike infrastructure and disincentivize the driving of motor vehicles. We also should not simply replace carbon-emitting vehicles with electric vehicles; instead we should reduce our investments in infrastructure that facilitates vehicular driving and put it into bike and transit infrastructure and programs.,"Yes, our low-stress bike facilities should be expanded to constitute a network. With regard to enabling biking for everyone and to every location, we should strive for that, but we should also adopt housing and planning policies that focus new housing, jobs, education, and food access at existing transportation nodes (transportation of all types), as well as assure that new developments have the strong potential for access to the same services and capabilities. The biggest barriers to equitable bike access in District 2 are (1) E. Washington Avenue and its having been designed as a highway that is very unfriendly and dangerous to bike on for even experienced cyclists; (2) the unfortunate decision many decades ago to convert E. Johnson and E. Gorham Streets from two-way streets to one-way streets, and (3) the lack of safe, low stress points to cross E. Washington.","Yes, yes, and yes. I am fully supportive of Vision Zero and its implementation.","Yes, yes, and yes. I am fully supportive of Vision Zero and its implementation.","Of course, but I think we are on the same page.","I have been a member of Madison Bikes for several years, although I’m not sure that my membership is current. If not, I will gladly renew. I have attended many Madison Bikes events in recent years and plan to do so in the future.",2
